제품 이름,평점,판매 회사,날짜,제목,내용
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,예약 판매 시작할때 구입 했는데 배송은 조금 오래 걸렸네요. 토요일에 우체국에 도착 했는데 하필 토요일에 우체국이 휴무라서오늘 배송 받았습니다. 오랜만에 갤럭시탭 써보네요 아이패드 프로 보다는 성능이 많이 떨어지지만 그래도 나름 괜찮게 나왔네요. 잘 쓰겠습니다.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.24.,최고예요,s8시리즈 중 가장 작은 모델인데 저한텐 충분히 시원했고 휴대성을 고려하면 이게 제일 좋을 것 같아요 선명한 화면과 s펜의 성능이 아주 만족스러워요사은품으로 신청한 북커버에 끼우면 가지고 다니기 편할것 같아요
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,4,11번가,22.02.14.,좋아요,이벤트당일 9시2분결제후 오늘월요일에 받았네요 저보다.늦게주문한분도 일찍받는걸 보면서 맘이.좀그랫지만 제품이 맘에들어서 기분이 좀 낫네요 펜이 블랙이라 핑크커버씌워서 사용할려고합니다
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.20.,역시 예상보다 좋아용~ 다만 갤탭S8+로 했어어야 했는데...품절로 구매 못해서 아쉽네요..그리고 라이브로 구매시 사전혜택이 좀 달라던것 같은데 저의 바램이였을까요??ㅋㅋ그리고 충,"역시 예상보다 좋아용~ 다만 갤탭S8+로 했어어야 했는데...품절로 구매 못해서 아쉽네요..그리고 라이브로 구매시 사전혜택이 좀 달라던것 같은데 저의 바램이였을까요??ㅋㅋ
그리고 충전기는 어케 받을수 있는지도.."
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.21.,택배파업으로 여유를 갖고 기다리고 있었는데 생각보다 빨리와서 좋았어요. 어머니께서 작은 스마트폰 화면을 너무 오래보시는 것 같아 조금 더 큰 화면으로 보시라고 생신선물로 샀는데 색,택배파업으로 여유를 갖고 기다리고 있었는데 생각보다 빨리와서 좋았어요. 어머니께서 작은 스마트폰 화면을 너무 오래보시는 것 같아 조금 더 큰 화면으로 보시라고 생신선물로 샀는데 색상도 이쁘고 마음에 들어하시네요.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.28.,첫 태블릿인데 만족합니다👍필기용으로 산건데 크기도 괜찮고 편해요!다만 펜색이 검은색인거 알고 사긴했는데 볼때마다 아쉽긴하네요ㅠ그래도 완전 좋아요❤,첫 태블릿인데 만족합니다👍필기용으로 산건데 크기도 괜찮고 편해요!다만 펜색이 검은색인거 알고 사긴했는데 볼때마다 아쉽긴하네요ㅠ그래도 완전 좋아요❤
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,탭을 들고서 책을 보는 편이라서 그냥 탭s8 로 구매했습니다. 펜 필기감도 좋아요. 근데 충전기 빠진거도 그렇고 교체용 펜촉도 없네요. 좀 챙겨주지 삼성..
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.17.,네이버 쇼핑 라이브 중에 결제 했는데 이틀만에 배송와서 빠르게 받았어요! 상품도 잘 도착했고 사용하는데 문제없이 잘 사용하고 있습니다. 색 고민도 엄청 했는데 다행히 핑크색도 질리,네이버 쇼핑 라이브 중에 결제 했는데 이틀만에 배송와서 빠르게 받았어요! 상품도 잘 도착했고 사용하는데 문제없이 잘 사용하고 있습니다. 색 고민도 엄청 했는데 다행히 핑크색도 질리지 않고 오래 쓸 수 있을거 같아요.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,4,11번가,22.02.24.,좋아요,업무에 필요해서 샀는데 키보트커버 오기전까지도 편리하게 사용하기 좋았어요! 들고다니기에도 부담없는 사이즈에 영상볼때도 만족스럽습니다~~
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.15.,사전구매여서 받아 보는데까지 시간이 제법 소요될줄알았는데 이틀만에 도착해서 좋았습니다! 스펙에비해서 출시가격이 부담됬지만 라이브 구매 혜택으로 할인받고 네이버포인트 적립도 받아서,사전구매여서 받아 보는데까지 시간이 제법 소요될줄알았는데 이틀만에 도착해서 좋았습니다! 스펙에비해서 출시가격이 부담됬지만 라이브 구매 혜택으로 할인받고 네이버포인트 적립도 받아서 맘에 듭니다!
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.20.,빠른 배송 감사드려요.^^제품 이상 없이 잘 받았고 너무 만족합니다.^^주변에도 다담INC에서 온라인 구입 추천해주고 있습니다.^^감기 조심하시고 행복하세요.^^,"빠른 배송 감사드려요.^^
제품 이상 없이 잘 받았고 너무 만족합니다.^^
주변에도 다담INC에서 온라인 구입 추천해주고 있습니다.^^
감기 조심하시고 행복하세요.^^"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.17.,아이패드만 이용하다가 처음으로 갤럭시탭으로 갈아탔는데 디자인도 예쁘고 사전예약 혜택도 좋은 거 같습니다. 성능은 차차 써보면 알겠지만 좋을 거 같아 기대가 됩니다.,아이패드만 이용하다가 처음으로 갤럭시탭으로 갈아탔는데 디자인도 예쁘고 사전예약 혜택도 좋은 거 같습니다. 성능은 차차 써보면 알겠지만 좋을 거 같아 기대가 됩니다.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.19.,S8+가 품절돼서 s8샀는데 오히려 저한테는 좋았던것 같아요 필기용 공부용으로만 산건데 크기도 만족만족 합니다미리 딜라이트샵에서 보고와서 걱정없었네요,"S8+가 품절돼서 s8샀는데 오히려 저한테는 좋았던것 같아요
필기용 공부용으로만 산건데 크기도 만족만족 합니다
미리 딜라이트샵에서 보고와서 걱정없었네요"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,1,삼성공식파트너 포디아이,22.02.22.,제품은 이상 없이 왔는데 너무 늦게 오네요2차 라이브 또 하면 충전기 못받은 사람은 뭐가되나요 더 일찍 받는 것도 아니고,"제품은 이상 없이 왔는데 너무 늦게 오네요
2차 라이브 또 하면 충전기 못받은 사람은 뭐가되나요 더 일찍 받는 것도 아니고"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,10일 주문 12일 배송완료이것저것 만져보니 사이즈가 점 아쉽긴한데 매우 좋네요 라방시간내 주문했고 구매확정했으니 충전기 잘 보내주세요!!
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,깔끔한 디자인에 색깔도 예쁘고 마음에 듭니다. 성능은 좀 더 써봐야 알겠지만 딱히 버벅이는 것도 없고 좋아보여요.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,액정보호 필름도 오고 잘 구매한듯 합니다 기본 S8이지만 LCD가 최상급이라고 하니 가대가 되네요. 예구하길 잘 한듯합니다. 박스만 뜯고 바로 올리는데 기대되네요. 블로그에 리뷰올릴게욧
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.19.,여보사줬는데 나이 55살인데 엄청 좋아하네요. 새벽에 일어나서 봐가지고 시끄러웠어어요. 앞으론 거실에서봐라.,여보사줬는데 나이 55살인데 엄청 좋아하네요. 새벽에 일어나서 봐가지고 시끄러웠어어요. 앞으론 거실에서봐라.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,갖고 싶던 태블릿이라 넘 맘에 들어요.충전기가 기본 구성에 없다는게 아쉬운데 라방 중 구매 사은품으로 주신다니 다행이에요.토요일에 우체국 배송을 안해주는 바람에 오늘에서야 받았네요.
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,11번가,22.02.14.,최고예요,화면이 어두운거 같긴한데 밝기 올리면 괜찮고 만족합니다.라이브특가구매로 충전기 발송부탁드려요^^
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.15.,라이브방송보면서 구매했는데 배송도 빠르고 좋았어요 충전기는 동봉되지않았으나 나중에 오겠죠..?,"라이브방송보면서 구매했는데
배송도 빠르고 좋았어요 충전기는 동봉되지않았으나 나중에 오겠죠..?"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.18.,삼성공홈이랑 갤캠스에 다 물량 없어서 사전구매 포기하고 있었는데 드디어 사게 돼서 너무 좋아요~!,삼성공홈이랑 갤캠스에 다 물량 없어서 사전구매 포기하고 있었는데 드디어 사게 돼서 너무 좋아요~!
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.26.,기존에 다른제품은 애들 독차지가되서제꺼루 구입했는데 좋네요.화질부터 s펜까지 모두 최고입니다.,"기존에 다른제품은 애들 독차지가되서
제꺼루 구입했는데 좋네요.
화질부터 s펜까지 모두 최고입니다."
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,4,11번가,22.02.14.,좋아요,배송은 매우 안전하게 빨리 도착했습니다.lcd라 그런지 액정이 노랗게 보이고 어두운감은 있네요ㅠㅜ
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.18.,라방에서 구입했어요생각보다 배송도 빠르고 주문 다다음날 왔습니다테스트 해보니 양품이고 좋네요라방 구매자 고속충전기 기다립니다~,"라방에서 구입했어요
생각보다 배송도 빠르고 주문 다다음날 왔습니다
테스트 해보니 양품이고 좋네요
라방 구매자 고속충전기 기다립니다~"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.02.24.,아이패드 쓰다가 넘어왔는데 앱 활용성은 아쉽지만 s펜이 제 생활에서 활용하기 넘 좋네요 ㅎㅎ 반사가 좀 심한건 아쉬워요,아이패드 쓰다가 넘어왔는데 앱 활용성은 아쉽지만 s펜이 제 생활에서 활용하기 넘 좋네요 ㅎㅎ 반사가 좀 심한건 아쉬워요
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,ABC전자마트,22.03.03.,휴일빼고 이틀만에 도착따뜻한 신상 예쁜핑크가 도착했어요 아이 온라인 화상수업때문에 구입했는데엄청 좋아하네요,"휴일빼고 이틀만에 도착
따뜻한 신상 예쁜핑크가 도착했어요
아이 온라인 화상수업때문에 구입했는데
엄청 좋아하네요"
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,삼성공식파트너 다담INC,22.03.02.,생각보다 배송이 빨리 왔습니다 그라파이트 색상이 인기 많아 찾기 힘들었는데 구매했네요^^,생각보다 배송이 빨리 왔습니다 그라파이트 색상이 인기 많아 찾기 힘들었는데 구매했네요^^
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,5,하이마트쇼핑몰,22.02.16.,깔끔하고 안전하게 잘 도착했습니,깔끔하고 안전하게 잘 도착했습니다 생각보다 일찍 와서 너무 좋았어요 여러분 모두 즐탭~~
삼성전자 갤럭시탭 S8 SM-X700 WiFi 128GB,4,삼성공식파트너 다담INC,22.02.21.,기본크기지만 영상보기에 너무 좋고 가지고 다니는 용도와 필기가 메인인데 막상 써보니까 필기는 더 적응해야겠고 아직 안가지고 다녀봐서 모르겠다..,기본크기지만 영상보기에 너무 좋고 가지고 다니는 용도와 필기가 메인인데 막상 써보니까 필기는 더 적응해야겠고 아직 안가지고 다녀봐서 모르겠다..
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,4,삼성공식파트너 포디아이,22.01.19.,1.외형 상세 사진에는 안 나오길래 테두리 4곳 사진 찍어봤어요. 그리고 뒷면. 뒷면에 투톤(?) 부분이 있구요. 카메라는 튀어나왔네요. 10인치 대의 태블릿을 처음 사봐서 그런지,"1.외형
상세 사진에는 안 나오길래 테두리 4곳 사진 찍어봤어요. 그리고 뒷면. 뒷면에 투톤(?) 부분이 있구요. 카메라는 튀어나왔네요. 10인치 대의 태블릿을 처음 사봐서 그런지 몰라도 처음 느낌은 '작은 노트북 같다' 고 생각이 들었고 '얇구나' 이런 생각을 했구요.

2. 사용해 본 앱- 심플리 피아노, 포켓캠프, 삼성티비
주로 아이들과 쓰려고 산 거라 처음 깔은 앱이 앞에 두 개구요. 있습니다. 그것들 밖에 안 깔아서 그런지는 모르지만요. 삼성티비는 기본앱으로 깔려있었어요.

3. 커버랑 필름 미리 .
필름 같은거 붙어서 오는지 알고 아무 준비도 안하고 샀는데 아무것도 안 붙어있어서 완전 놀랐어요. 요즘은 그렇다는데 몰랐네요. 급하게 다이소 가서 아이패드용 10.2 강화 유리 보호 샀는데 필름 폭이 커서 안 맞네요. 애들 만지는거라 급해서 그거라도 붙여 놓고 급 주문했습니다.

멤버쉽 데이에 샀는데 하루 뒤에 멤버쉽 혜택보다 더 할인된 . ^^
그래도 만족스러운 면이 많아서 리뷰 해봅니다."
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,삼성공식파트너 엠피나비,22.02.18.,이번에 초등학교 입학하는 아이 때문에 샀어요. 코로나가 너무 심한지라 원격수업 대비도 할 겸 학습용으로 두루두루 사용될 것 같아서 주문해봤는데 가성비 괜찮은거 같네요. 아이가 하루,이번에 초등학교 입학하는 아이 때문에 샀어요. 코로나가 너무 심한지라 원격수업 대비도 할 겸 학습용으로 두루두루 사용될 것 같아서 주문해봤는데 가성비 괜찮은거 같네요. 아이가 하루종일 집에 있는터라 배송온지 3일만에 몰래 열어봤어요. 그레이를 할까 고민하다가 밝은색으로 했는데 괜찮은거 같아요. 어차피 케이스 씌우면 별 의미는 없는거 같긴하지만요 ㅎㅎ 아이가 좋아할 것 같아요. 책 한세트 다 읽고 나면 준다고 딜을 해서 숨겨두고 아직 못주고 있어요. 좋은 가격에 좋은 제품 산 것 같아 좋네요. 강화필름과 케이스 등 추가구성으로 잘 산 것 같아요. 오래 고장없이 잘 쓸 수 있길바랍니다. 감사히 잘 쓰겠습니다.^^
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,4,11번가,22.02.11.,좋아요,테블릿을 처음 써보는거라서 애플을 살까 고민하다가 동영상시청으로만 이용하는 용도라서 가심비보단 가성비를 선택하였는데~ 가성비 대비는 아주 괜찮은거 같아용~ 화면도 생각보단 깔끔하고 스피커 기능도 반응속도도 나쁘진 않습니다~그런데 생각보다 무게는 좀 나가는 편이라서 집에서 킬링타임용으로 이용해야 겠어용~
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,컴퓨존,22.02.25.,a6 쓰다가 와이파이가 자꾸 끊겨서 고쳐쓸까 하다가 그냥 이참에 새로 구매했어요 카카페나 유튭정도만 보는 용도라서 보급형으로 구입 생각보다 시야각이 좀 불편하긴 한데 적응되겠죠 충,a6 쓰다가 와이파이가 자꾸 끊겨서 고쳐쓸까 하다가 그냥 이참에 새로 구매했어요 카카페나 유튭정도만 보는 용도라서 보급형으로 구입 생각보다 시야각이 좀 불편하긴 한데 적응되겠죠 충전 단자가 하단에 있어서 좀 불편한거 말곤 그럭저럭 싼맛에 쓸만한듯
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,삼성공식파트너 엠피나비,22.02.18.,무게는 쬐까 나가지만 어르신들 쓰긴 적당할 것 같아서 구매했습니다. 삼성이니 as도 걱정 없구요^^그런데 3만원에 주는 기본 구성 퀄리티가 좀 애매합니다. 필름은 터치가 씹히고 커,"무게는 쬐까 나가지만 어르신들 쓰긴 적당할 것 같아서 구매했습니다. 삼성이니 as도 걱정 없구요^^

그런데 3만원에 주는 기본 구성 퀄리티가 좀 애매합니다. 필름은 터치가 씹히고 커버도 내구성이 약해보여요. 돈을 좀 더 내더라도 따로 사시는 게 태블릿 사용에 좀 더 만족스러울 듯 합니다."
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,11번가,22.02.27.,최고예요,조금 늦게왔지만 뭐 감안할수있어요요즘 파업이고뭐고 시끄러우니그런데 이거 조금 많이 충전 느려요테스트 해본다고 이거저거 동영상 몇번보니 베터리 금방 없어지네요화면이커서그런지 뭐 그래도 만족은해요애들줄거라 잠깐만 쓸거니근데 충전 엄청 늦게 되네요 웩
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,삼성공식파트너 포디아이,22.02.09.,아버지께 사드렸는데 아주 만족하면서 사용하십니다. 갤럭시 핸드폰 이용중이셔서 연동 다 하니 모두 사용 가능하고요. a4용지랑 비슷한 사이즈인데 그거보단 조오금 작습니다. 디자인툴,아버지께 사드렸는데 아주 만족하면서 사용하십니다. 갤럭시 핸드폰 이용중이셔서 연동 다 하니 모두 사용 가능하고요. a4용지랑 비슷한 사이즈인데 그거보단 조오금 작습니다. 디자인툴 이용하시거나 무거운 작업 안 하실 분들은 보급형으로 이 모델 사용하시면 좋을 것 같아요.
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,삼성공식파트너 포디아이,22.02.08.,"연휴 중에 구매했는데 연휴 끝나고 바로 발송해주셔서 담날 받았습니다. 갤럭시 탭은 처음인데 저렴하게 잘 구매한 것 같아요. 가볍고 크기도 적당한데, 터치가 아이패드에 비해 별로 예","연휴 중에 구매했는데 연휴 끝나고 바로 발송해주셔서 담날 받았습니다. 갤럭시 탭은 처음인데 저렴하게 잘 구매한 것 같아요. 가볍고 크기도 적당한데, 터치가 아이패드에 비해 별로 예민하지 않은 것 같아요. 아, 그레이 색상도 예쁩니다!"
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,11번가,22.02.23.,최고예요,배송이 생각보단 빨랐습니다.내용물은 상품정보를 보시면 되고.세컨용으로 구입한 것이라 사용자 세팅하고사은품(?)으로 커버 9900원으로 구입하기 위해서는 상성멤버스에 직접 들어가서 구입하면 되는군요.언제 올지는 모르겠지만 일단 온라인입금으로 구입신청을 해놓았습니다. 삼페나 카드로 구입하려면 미리 그 앱에 등록처리를 해놓으셔야 합니다.
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,11번가,22.02.26.,최고예요,"우선, 배송이 엄청 빠르네요. 주로 머리 맡에 두고 유튜브를 보거나, 가끔 간단한 문서 보완 작업을 하는 용도라서 보급형 A 시리즈를 선택했습니다. A7은 A8의 절반값도 안돼서 나름 관심이 쏠리긴 했는데, 해상도가 상대적으로 낮아서 얼마안가서 후회와 미련이 남을거 같아서 돈 조금 더 내고 A8을 선택했습니다."
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,삼성공식파트너 포디아이,22.01.27.,배송도 바로 왔고 안전하게 배송됬어요. 일주일정도 사용했는데 보통 영상시청 웹서핑하는 정도라 딱 좋아요. 핸드폰보다는 큰화면에 노트북보다는 높은 휴대성을 가지고 있어서 만족하며,배송도 바로 왔고 안전하게 배송됬어요. 일주일정도 사용했는데 보통 영상시청 웹서핑하는 정도라 딱 좋아요. 핸드폰보다는 큰화면에 노트북보다는 높은 휴대성을 가지고 있어서 만족하며 사용중입니다. 좀더 밝은 느낌이 좋아서 실버로 주문했어요. 해외에는 핑크도 있는데 국내에는 안 들어와서 아쉽지만요.
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,3,삼성공식파트너 포디아이,22.01.25.,배송은 빨라서 좋았는데... 제가 사용할거면 상관없는데 부모님 설선물로 산거여서요. 상자가 너무 더러워서 리퍼제품 받은줄 알았어요.ㅠㅠ 사진엔 잘 안보이지만 상자에 스크래치도 많고,배송은 빨라서 좋았는데... 제가 사용할거면 상관없는데 부모님 설선물로 산거여서요. 상자가 너무 더러워서 리퍼제품 받은줄 알았어요.ㅠㅠ 사진엔 잘 안보이지만 상자에 스크래치도 많고요. 제품엔 문제없어서 그냥 사용하려하나 선물하는 맘이 좋지 않네요.
삼성전자 갤럭시탭 A8 SM-X200 WIFI 64GB,5,삼성공식파트너 엠피나비,22.02.11.,아이가 패드패드 노래를불러서 주문햇다가 광주광산구 택배파업으로 배송안된다고 자동취소되어 배송가능한 전남 장성 이모집으로 배송 받았어요. 14시 되기3분전 주문완료햇지만 당일배송은,아이가 패드패드 노래를불러서 주문햇다가 광주광산구 택배파업으로 배송안된다고 자동취소되어 배송가능한 전남 장성 이모집으로 배송 받았어요. 14시 되기3분전 주문완료햇지만 당일배송은 아쉽게 안되었어요ㅜ그래서 몇일간 아이가 저를 들들 볶네요ㅠㅠ 패드가 무게가 잇는데 안떨어뜨리게 조심히 사용해야겟어요. 상품은 마음에 들고요. 잘쓰겟습니다.
